Training loss: 4.05e-02 lr: 4.44e-05:  11% 114/1015 [00:55<07:22,  2.04it/s]
Training loss: 3.45e-02 lr: 4.44e-05:  11% 115/1015 [00:55<07:21,  2.04it/s]
Training loss: 5.59e-02 lr: 4.43e-05:  11% 116/1015 [00:56<07:22,  2.03it/s]
Training loss: 1.21e-01 lr: 4.43e-05:  12% 117/1015 [00:56<07:23,  2.02it/s]
Training loss: 8.80e-02 lr: 4.42e-05:  12% 118/1015 [00:57<07:23,  2.02it/s]
Training loss: 1.13e-01 lr: 4.42e-05:  12% 119/1015 [00:57<07:22,  2.03it/s]
Training loss: 8.22e-02 lr: 4.41e-05:  12% 120/1015 [00:58<07:21,  2.03it/s]
Training loss: 1.18e-01 lr: 4.41e-05:  12% 121/1015 [00:58<07:22,  2.02it/s]
Training loss: 9.55e-02 lr: 4.40e-05:  12% 122/1015 [00:59<07:21,  2.02it/s]
Training loss: 9.26e-02 lr: 4.40e-05:  12% 123/1015 [00:59<07:20,  2.02it/s]
Training loss: 1.02e-01 lr: 4.39e-05:  12% 124/1015 [00:59<07:19,  2.03it/s]
Training loss: 8.45e-02 lr: 4.39e-05:  12% 125/1015 [01:00<07:21,  2.02it/s]
Training loss: 1.36e-01 lr: 4.38e-05:  12% 126/1015 [01:00<07:19,  2.02it/s]
Training loss: 1.34e-01 lr: 4.38e-05:  13% 127/1015 [01:01<07:18,  2.03it/s]
Training loss: 9.95e-02 lr: 4.37e-05:  13% 128/1015 [01:01<07:20,  2.01it/s]
Training loss: 7.42e-02 lr: 4.37e-05:  13% 129/1015 [01:02<07:18,  2.02it/s]
Training loss: 9.17e-02 lr: 4.36e-05:  13% 130/1015 [01:02<07:18,  2.02it/s]
Training loss: 7.34e-02 lr: 4.36e-05:  13% 131/1015 [01:03<07:16,  2.03it/s]
Training loss: 9.96e-02 lr: 4.35e-05:  13% 132/1015 [01:03<07:19,  2.01it/s]
Training loss: 1.08e-01 lr: 4.35e-05:  13% 133/1015 [01:04<07:19,  2.01it/s]
Training loss: 8.21e-02 lr: 4.34e-05:  13% 134/1015 [01:04<07:19,  2.00it/s]
Training loss: 6.23e-02 lr: 4.34e-05:  13% 135/1015 [01:05<07:18,  2.01it/s]
Training loss: 4.74e-02 lr: 4.33e-05:  13% 136/1015 [01:05<07:16,  2.01it/s]
Training loss: 7.08e-02 lr: 4.33e-05:  13% 137/1015 [01:06<07:15,  2.02it/s]
Training loss: 5.48e-02 lr: 4.32e-05:  14% 138/1015 [01:06<07:14,  2.02it/s]
Training loss: 7.45e-02 lr: 4.32e-05:  14% 139/1015 [01:07<07:13,  2.02it/s]
Training loss: 8.80e-02 lr: 4.31e-05:  14% 140/1015 [01:07<07:13,  2.02it/s]
Training loss: 9.44e-02 lr: 4.31e-05:  14% 141/1015 [01:08<07:14,  2.01it/s]
Training loss: 9.93e-02 lr: 4.30e-05:  14% 142/1015 [01:08<07:13,  2.01it/s]
Training loss: 9.52e-02 lr: 4.30e-05:  14% 143/1015 [01:09<07:12,  2.02it/s]
Training loss: 1.01e-01 lr: 4.29e-05:  14% 144/1015 [01:09<07:14,  2.01it/s]
Training loss: 8.84e-02 lr: 4.29e-05:  14% 145/1015 [01:10<07:16,  1.99it/s]
Training loss: 9.44e-02 lr: 4.29e-05:  14% 146/1015 [01:10<07:15,  1.99it/s]
Training loss: 7.08e-02 lr: 4.28e-05:  14% 147/1015 [01:11<07:14,  2.00it/s]
Training loss: 5.74e-02 lr: 4.28e-05:  15% 148/1015 [01:11<07:13,  2.00it/s]
Training loss: 4.72e-02 lr: 4.27e-05:  15% 149/1015 [01:12<07:12,  2.00it/s]
Training loss: 3.82e-02 lr: 4.27e-05:  15% 150/1015 [01:12<07:12,  2.00it/s]
Training loss: 5.83e-02 lr: 4.26e-05:  15% 151/1015 [01:13<07:11,  2.00it/s]
Training loss: 4.66e-02 lr: 4.26e-05:  15% 152/1015 [01:13<07:13,  1.99it/s]
Training loss: 3.85e-02 lr: 4.25e-05:  15% 153/1015 [01:14<07:14,  1.98it/s]
Training loss: 3.45e-02 lr: 4.25e-05:  15% 154/1015 [01:14<07:12,  1.99it/s]
Training loss: 2.85e-02 lr: 4.24e-05:  15% 155/1015 [01:15<07:10,  2.00it/s]
Training loss: 2.35e-02 lr: 4.24e-05:  15% 156/1015 [01:15<07:10,  2.00it/s]
Training loss: 7.66e-02 lr: 4.23e-05:  15% 157/1015 [01:16<07:12,  1.98it/s]
Training loss: 5.61e-02 lr: 4.23e-05:  16% 158/1015 [01:16<07:10,  1.99it/s]
Training loss: 4.26e-02 lr: 4.22e-05:  16% 159/1015 [01:17<07:10,  1.99it/s]
Training loss: 7.68e-02 lr: 4.22e-05:  16% 160/1015 [01:17<07:10,  1.98it/s]
Training loss: 5.66e-02 lr: 4.21e-05:  16% 161/1015 [01:18<07:09,  1.99it/s]
Training loss: 9.83e-02 lr: 4.21e-05:  16% 162/1015 [01:18<07:09,  1.99it/s]
Training loss: 7.18e-02 lr: 4.20e-05:  16% 163/1015 [01:19<07:08,  1.99it/s]
Training loss: 5.29e-02 lr: 4.20e-05:  16% 164/1015 [01:19<07:06,  1.99it/s]
Training loss: 4.46e-02 lr: 4.19e-05:  16% 165/1015 [01:20<07:06,  1.99it/s]
Training loss: 3.33e-02 lr: 4.19e-05:  16% 166/1015 [01:20<07:05,  1.99it/s]
Training loss: 9.79e-02 lr: 4.18e-05:  16% 167/1015 [01:21<07:04,  2.00it/s]
Training loss: 7.17e-02 lr: 4.18e-05:  17% 168/1015 [01:21<07:05,  1.99it/s]
Training loss: 9.44e-02 lr: 4.17e-05:  17% 169/1015 [01:22<07:04,  1.99it/s]
Training loss: 1.07e-01 lr: 4.17e-05:  17% 170/1015 [01:22<07:05,  1.99it/s]
Training loss: 7.72e-02 lr: 4.16e-05:  17% 171/1015 [01:23<07:06,  1.98it/s]
Training loss: 7.04e-02 lr: 4.16e-05:  17% 172/1015 [01:23<07:05,  1.98it/s]
Training loss: 5.19e-02 lr: 4.15e-05:  17% 173/1015 [01:24<07:07,  1.97it/s]
Training loss: 3.89e-02 lr: 4.15e-05:  17% 174/1015 [01:25<07:07,  1.97it/s]
Training loss: 6.43e-02 lr: 4.14e-05:  17% 175/1015 [01:25<07:04,  1.98it/s]
Training loss: 4.75e-02 lr: 4.14e-05:  17% 176/1015 [01:26<07:03,  1.98it/s]
Training loss: 6.63e-02 lr: 4.13e-05:  17% 177/1015 [01:26<07:03,  1.98it/s]
Training loss: 4.96e-02 lr: 4.13e-05:  18% 178/1015 [01:27<07:02,  1.98it/s]
Training loss: 8.79e-02 lr: 4.12e-05:  18% 179/1015 [01:27<07:01,  1.98it/s]
Training loss: 6.85e-02 lr: 4.12e-05:  18% 180/1015 [01:28<07:00,  1.99it/s]
Training loss: 5.20e-02 lr: 4.11e-05:  18% 181/1015 [01:28<07:01,  1.98it/s]
Training loss: 8.26e-02 lr: 4.11e-05:  18% 182/1015 [01:29<06:58,  1.99it/s]
Training loss: 6.22e-02 lr: 4.10e-05:  18% 183/1015 [01:29<06:56,  2.00it/s]
Training loss: 4.81e-02 lr: 4.10e-05:  18% 184/1015 [01:30<06:57,  1.99it/s]
Training loss: 7.02e-02 lr: 4.09e-05:  18% 185/1015 [01:30<06:58,  1.98it/s]
Training loss: 1.22e-01 lr: 4.09e-05:  18% 186/1015 [01:31<06:59,  1.97it/s]
Training loss: 9.39e-02 lr: 4.08e-05:  18% 187/1015 [01:31<06:56,  1.99it/s]
Training loss: 1.02e-01 lr: 4.08e-05:  19% 188/1015 [01:32<06:56,  1.98it/s]
Training loss: 9.58e-02 lr: 4.07e-05:  19% 189/1015 [01:32<06:57,  1.98it/s]
Training loss: 7.11e-02 lr: 4.07e-05:  19% 190/1015 [01:33<06:56,  1.98it/s]
Training loss: 8.60e-02 lr: 4.06e-05:  19% 191/1015 [01:33<06:54,  1.99it/s]
Training loss: 9.81e-02 lr: 4.06e-05:  19% 192/1015 [01:34<06:52,  1.99it/s]
Training loss: 7.18e-02 lr: 4.05e-05:  19% 193/1015 [01:34<06:54,  1.98it/s]
Training loss: 5.82e-02 lr: 4.05e-05:  19% 194/1015 [01:35<06:54,  1.98it/s]
Training loss: 4.62e-02 lr: 4.04e-05:  19% 195/1015 [01:35<06:54,  1.98it/s]
Training loss: 3.72e-02 lr: 4.04e-05:  19% 196/1015 [01:36<06:55,  1.97it/s]
Training loss: 3.06e-02 lr: 4.03e-05:  19% 197/1015 [01:36<06:54,  1.98it/s]
Training loss: 2.84e-02 lr: 4.03e-05:  20% 198/1015 [01:37<06:53,  1.98it/s]
Training loss: 5.63e-02 lr: 4.02e-05:  20% 199/1015 [01:37<06:50,  1.99it/s]
Training loss: 4.86e-02 lr: 4.02e-05:  20% 200/1015 [01:38<06:49,  1.99it/s]
Training loss: 3.79e-02 lr: 4.01e-05:  20% 201/1015 [01:38<06:47,  2.00it/s]
Training loss: 3.20e-02 lr: 4.01e-05:  20% 202/1015 [01:39<06:45,  2.00it/s]
Training loss: 2.58e-02 lr: 4.00e-05:  20% 203/1015 [01:39<06:43,  2.01it/s]
Training loss: 2.13e-02 lr: 4.00e-05:  20% 204/1015 [01:40<06:44,  2.01it/s]
Training loss: 1.70e-02 lr: 3.99e-05:  20% 205/1015 [01:40<06:45,  2.00it/s]
Training loss: 5.02e-02 lr: 3.99e-05:  20% 206/1015 [01:41<06:46,  1.99it/s]
Training loss: 6.90e-02 lr: 3.98e-05:  20% 207/1015 [01:41<06:46,  1.99it/s]
Training loss: 8.23e-02 lr: 3.98e-05:  20% 208/1015 [01:42<06:45,  1.99it/s]
Training loss: 9.86e-02 lr: 3.97e-05:  21% 209/1015 [01:42<06:44,  1.99it/s]
Training loss: 1.72e-01 lr: 3.97e-05:  21% 210/1015 [01:43<06:44,  1.99it/s]
Training loss: 1.92e-01 lr: 3.96e-05:  21% 211/1015 [01:43<06:40,  2.01it/s]
Training loss: 1.36e-01 lr: 3.96e-05:  21% 212/1015 [01:44<06:40,  2.01it/s]
Training loss: 1.29e-01 lr: 3.95e-05:  21% 213/1015 [01:44<06:40,  2.00it/s]
Training loss: 1.21e-01 lr: 3.95e-05:  21% 214/1015 [01:45<06:40,  2.00it/s]
Training loss: 9.06e-02 lr: 3.94e-05:  21% 215/1015 [01:45<06:38,  2.01it/s]
Training loss: 1.17e-01 lr: 3.94e-05:  21% 216/1015 [01:46<06:38,  2.01it/s]
Training loss: 8.61e-02 lr: 3.93e-05:  21% 217/1015 [01:46<06:37,  2.01it/s]
Training loss: 6.49e-02 lr: 3.93e-05:  21% 218/1015 [01:47<06:35,  2.01it/s]
Training loss: 7.71e-02 lr: 3.93e-05:  22% 219/1015 [01:47<06:34,  2.02it/s]
Training loss: 6.15e-02 lr: 3.92e-05:  22% 220/1015 [01:48<06:33,  2.02it/s]
Training loss: 7.34e-02 lr: 3.92e-05:  22% 221/1015 [01:48<06:32,  2.02it/s]
Training loss: 7.03e-02 lr: 3.91e-05:  22% 222/1015 [01:49<06:31,  2.02it/s]
Training loss: 5.56e-02 lr: 3.91e-05:  22% 223/1015 [01:49<06:30,  2.03it/s]
Training loss: 9.46e-02 lr: 3.90e-05:  22% 224/1015 [01:50<06:30,  2.02it/s]
Training loss: 1.30e-01 lr: 3.90e-05:  22% 225/1015 [01:50<06:30,  2.03it/s]
Training loss: 9.83e-02 lr: 3.89e-05:  22% 226/1015 [01:51<06:29,  2.03it/s]
Training loss: 7.30e-02 lr: 3.89e-05:  22% 227/1015 [01:51<06:29,  2.03it/s]
Training loss: 5.45e-02 lr: 3.88e-05:  22% 228/1015 [01:52<06:28,  2.03it/s]
Training loss: 4.25e-02 lr: 3.88e-05:  23% 229/1015 [01:52<06:28,  2.02it/s]
Training loss: 9.40e-02 lr: 3.87e-05:  23% 230/1015 [01:53<06:28,  2.02it/s]
Training loss: 1.25e-01 lr: 3.87e-05:  23% 231/1015 [01:53<06:29,  2.01it/s]
Training loss: 9.34e-02 lr: 3.86e-05:  23% 232/1015 [01:54<06:27,  2.02it/s]
Training loss: 6.96e-02 lr: 3.86e-05:  23% 233/1015 [01:54<06:27,  2.02it/s]
Training loss: 5.44e-02 lr: 3.85e-05:  23% 234/1015 [01:55<06:25,  2.02it/s]
Training loss: 4.35e-02 lr: 3.85e-05:  23% 235/1015 [01:55<06:25,  2.02it/s]
Training loss: 1.28e-01 lr: 3.84e-05:  23% 236/1015 [01:55<06:24,  2.03it/s]
Training loss: 1.04e-01 lr: 3.84e-05:  23% 237/1015 [01:56<06:24,  2.03it/s]
Training loss: 1.06e-01 lr: 3.83e-05:  23% 238/1015 [01:56<06:23,  2.03it/s]
Training loss: 9.61e-02 lr: 3.83e-05:  24% 239/1015 [01:57<06:25,  2.02it/s]
Training loss: 1.05e-01 lr: 3.82e-05:  24% 240/1015 [01:57<06:24,  2.01it/s]
Training loss: 7.91e-02 lr: 3.82e-05:  24% 241/1015 [01:58<06:22,  2.02it/s]
Training loss: 6.07e-02 lr: 3.81e-05:  24% 242/1015 [01:58<06:21,  2.03it/s]
Training loss: 4.65e-02 lr: 3.81e-05:  24% 243/1015 [01:59<06:20,  2.03it/s]
Training loss: 9.62e-02 lr: 3.80e-05:  24% 244/1015 [01:59<06:20,  2.03it/s]
Training loss: 7.16e-02 lr: 3.80e-05:  24% 245/1015 [02:00<06:22,  2.01it/s]
Training loss: 8.95e-02 lr: 3.79e-05:  24% 246/1015 [02:00<06:21,  2.02it/s]
Training loss: 6.71e-02 lr: 3.79e-05:  24% 247/1015 [02:01<06:22,  2.01it/s]
Training loss: 8.79e-02 lr: 3.78e-05:  24% 248/1015 [02:01<06:20,  2.02it/s]
Training loss: 9.18e-02 lr: 3.78e-05:  25% 249/1015 [02:02<06:19,  2.02it/s]
Training loss: 9.27e-02 lr: 3.77e-05:  25% 250/1015 [02:02<06:19,  2.02it/s]
Training loss: 1.04e-01 lr: 3.77e-05:  25% 251/1015 [02:03<06:17,  2.02it/s]
Training loss: 7.77e-02 lr: 3.76e-05:  25% 252/1015 [02:03<06:16,  2.03it/s]
Training loss: 6.20e-02 lr: 3.76e-05:  25% 253/1015 [02:04<06:18,  2.01it/s]
Training loss: 7.98e-02 lr: 3.75e-05:  25% 254/1015 [02:04<06:16,  2.02it/s]
Training loss: 8.11e-02 lr: 3.75e-05:  25% 255/1015 [02:05<06:15,  2.02it/s]
Training loss: 6.44e-02 lr: 3.74e-05:  25% 256/1015 [02:05<06:14,  2.03it/s]
Training loss: 7.98e-02 lr: 3.74e-05:  25% 257/1015 [02:06<06:15,  2.02it/s]
Training loss: 6.26e-02 lr: 3.73e-05:  25% 258/1015 [02:06<06:12,  2.03it/s]
Training loss: 1.04e-01 lr: 3.73e-05:  26% 259/1015 [02:07<06:12,  2.03it/s]
Training loss: 1.33e-01 lr: 3.72e-05:  26% 260/1015 [02:07<06:14,  2.02it/s]
Training loss: 1.52e-01 lr: 3.72e-05:  26% 261/1015 [02:08<06:13,  2.02it/s]
Training loss: 1.34e-01 lr: 3.71e-05:  26% 262/1015 [02:08<06:13,  2.01it/s]
Training loss: 1.02e-01 lr: 3.71e-05:  26% 263/1015 [02:09<06:13,  2.01it/s]
Training loss: 1.28e-01 lr: 3.70e-05:  26% 264/1015 [02:09<06:10,  2.02it/s]
Training loss: 1.68e-01 lr: 3.70e-05:  26% 265/1015 [02:10<06:10,  2.03it/s]
Training loss: 1.48e-01 lr: 3.69e-05:  26% 266/1015 [02:10<06:09,  2.03it/s]
Training loss: 1.34e-01 lr: 3.69e-05:  26% 267/1015 [02:11<06:08,  2.03it/s]
Training loss: 1.33e-01 lr: 3.68e-05:  26% 268/1015 [02:11<06:09,  2.02it/s]
Training loss: 1.03e-01 lr: 3.68e-05:  27% 269/1015 [02:12<06:10,  2.02it/s]
Training loss: 1.28e-01 lr: 3.67e-05:  27% 270/1015 [02:12<06:10,  2.01it/s]
Training loss: 1.57e-01 lr: 3.67e-05:  27% 271/1015 [02:13<06:11,  2.00it/s]
Training loss: 1.38e-01 lr: 3.66e-05:  27% 272/1015 [02:13<06:12,  2.00it/s]
Training loss: 1.07e-01 lr: 3.66e-05:  27% 273/1015 [02:14<06:10,  2.00it/s]
Training loss: 1.73e-01 lr: 3.65e-05:  27% 274/1015 [02:14<06:07,  2.02it/s]
