Training loss: 6.99e-01 lr: 1.48e-05:  76% 138/182 [01:47<00:34,  1.29it/s]
Training loss: 7.05e-01 lr: 1.45e-05:  76% 139/182 [01:47<00:33,  1.29it/s]
Training loss: 6.76e-01 lr: 1.42e-05:  77% 140/182 [01:48<00:32,  1.29it/s]
Training loss: 6.40e-01 lr: 1.38e-05:  77% 141/182 [01:49<00:31,  1.29it/s]
Training loss: 6.60e-01 lr: 1.35e-05:  78% 142/182 [01:50<00:31,  1.29it/s]
Training loss: 6.72e-01 lr: 1.31e-05:  79% 143/182 [01:50<00:30,  1.29it/s]
Training loss: 6.88e-01 lr: 1.28e-05:  79% 144/182 [01:51<00:29,  1.29it/s]
Training loss: 7.20e-01 lr: 1.24e-05:  80% 145/182 [01:52<00:28,  1.29it/s]
Training loss: 7.12e-01 lr: 1.21e-05:  80% 146/182 [01:53<00:28,  1.28it/s]
Training loss: 7.00e-01 lr: 1.17e-05:  81% 147/182 [01:54<00:27,  1.28it/s]
Training loss: 6.61e-01 lr: 1.14e-05:  81% 148/182 [01:54<00:26,  1.28it/s]
Training loss: 6.82e-01 lr: 1.10e-05:  82% 149/182 [01:55<00:25,  1.28it/s]
Training loss: 6.55e-01 lr: 1.07e-05:  82% 150/182 [01:56<00:25,  1.28it/s]
Training loss: 6.35e-01 lr: 1.04e-05:  83% 151/182 [01:57<00:24,  1.28it/s]
Training loss: 6.59e-01 lr: 1.00e-05:  84% 152/182 [01:58<00:23,  1.28it/s]
Training loss: 6.34e-01 lr: 9.67e-06:  84% 153/182 [01:58<00:22,  1.28it/s]
Training loss: 6.35e-01 lr: 9.32e-06:  85% 154/182 [01:59<00:21,  1.28it/s]
Training loss: 6.60e-01 lr: 8.98e-06:  85% 155/182 [02:00<00:21,  1.28it/s]
Training loss: 6.33e-01 lr: 8.63e-06:  86% 156/182 [02:01<00:20,  1.27it/s]
Training loss: 6.76e-01 lr: 8.29e-06:  86% 157/182 [02:01<00:19,  1.27it/s]
Training loss: 6.60e-01 lr: 7.94e-06:  87% 158/182 [02:02<00:18,  1.27it/s]
Training loss: 6.48e-01 lr: 7.60e-06:  87% 159/182 [02:03<00:18,  1.27it/s]
Training loss: 6.29e-01 lr: 7.25e-06:  88% 160/182 [02:04<00:17,  1.27it/s]
Training loss: 6.53e-01 lr: 6.91e-06:  88% 161/182 [02:05<00:16,  1.27it/s]
Training loss: 6.36e-01 lr: 6.56e-06:  89% 162/182 [02:05<00:15,  1.28it/s]
Training loss: 6.58e-01 lr: 6.22e-06:  90% 163/182 [02:06<00:14,  1.28it/s]
Training loss: 6.61e-01 lr: 5.87e-06:  90% 164/182 [02:07<00:14,  1.28it/s]
Training loss: 6.77e-01 lr: 5.52e-06:  91% 165/182 [02:08<00:13,  1.28it/s]
Training loss: 6.66e-01 lr: 5.18e-06:  91% 166/182 [02:09<00:12,  1.27it/s]
Training loss: 6.70e-01 lr: 4.83e-06:  92% 167/182 [02:09<00:11,  1.28it/s]
Training loss: 6.90e-01 lr: 4.49e-06:  92% 168/182 [02:10<00:10,  1.27it/s]
Training loss: 6.75e-01 lr: 4.14e-06:  93% 169/182 [02:11<00:10,  1.28it/s]
Training loss: 6.68e-01 lr: 3.80e-06:  93% 170/182 [02:12<00:09,  1.28it/s]
Training loss: 6.69e-01 lr: 3.45e-06:  94% 171/182 [02:12<00:08,  1.28it/s]
Training loss: 6.77e-01 lr: 3.11e-06:  95% 172/182 [02:13<00:07,  1.28it/s]
Training loss: 6.93e-01 lr: 2.76e-06:  95% 173/182 [02:14<00:07,  1.27it/s]
Training loss: 6.44e-01 lr: 2.42e-06:  96% 174/182 [02:15<00:06,  1.28it/s]
Training loss: 6.49e-01 lr: 2.07e-06:  96% 175/182 [02:16<00:05,  1.28it/s]
Training loss: 6.22e-01 lr: 1.73e-06:  97% 176/182 [02:16<00:04,  1.29it/s]
Training loss: 6.60e-01 lr: 1.38e-06:  97% 177/182 [02:17<00:03,  1.28it/s]
Training loss: 6.45e-01 lr: 1.04e-06:  98% 178/182 [02:18<00:03,  1.29it/s]
Training loss: 6.38e-01 lr: 6.91e-07:  98% 179/182 [02:19<00:02,  1.29it/s]
Training loss: 6.38e-01 lr: 3.45e-07:  99% 180/182 [02:19<00:01,  1.29it/s]
Training loss: 6.16e-01 lr: 0.00e+00:  99% 181/182 [02:20<00:00,  1.29it/s]
Training loss: 6.08e-01 lr: -3.45e-07: 100% 182/182 [02:21<00:00,  1.29it/s]
