Training loss: 6.78e-01 lr: 2.46e-05:  60% 117/194 [01:28<00:58,  1.31it/s]
Training loss: 6.93e-01 lr: 2.43e-05:  61% 118/194 [01:29<00:57,  1.32it/s]
Training loss: 6.89e-01 lr: 2.40e-05:  61% 119/194 [01:30<00:57,  1.31it/s]
Training loss: 7.01e-01 lr: 2.36e-05:  62% 120/194 [01:31<00:56,  1.31it/s]
Training loss: 6.85e-01 lr: 2.33e-05:  62% 121/194 [01:32<00:55,  1.31it/s]
Training loss: 6.72e-01 lr: 2.30e-05:  63% 122/194 [01:32<00:54,  1.31it/s]
Training loss: 6.50e-01 lr: 2.27e-05:  63% 123/194 [01:33<00:53,  1.32it/s]
Training loss: 6.44e-01 lr: 2.23e-05:  64% 124/194 [01:34<00:53,  1.32it/s]
Training loss: 6.49e-01 lr: 2.20e-05:  64% 125/194 [01:35<00:52,  1.32it/s]
Training loss: 6.71e-01 lr: 2.17e-05:  65% 126/194 [01:35<00:51,  1.32it/s]
Training loss: 6.75e-01 lr: 2.14e-05:  65% 127/194 [01:36<00:50,  1.32it/s]
Training loss: 6.76e-01 lr: 2.10e-05:  66% 128/194 [01:37<00:50,  1.32it/s]
Training loss: 7.22e-01 lr: 2.07e-05:  66% 129/194 [01:38<00:49,  1.32it/s]
Training loss: 7.19e-01 lr: 2.04e-05:  67% 130/194 [01:38<00:48,  1.32it/s]
Training loss: 7.08e-01 lr: 2.01e-05:  68% 131/194 [01:39<00:47,  1.32it/s]
Training loss: 6.73e-01 lr: 1.98e-05:  68% 132/194 [01:40<00:46,  1.32it/s]
Training loss: 6.97e-01 lr: 1.94e-05:  69% 133/194 [01:41<00:46,  1.33it/s]
Training loss: 6.97e-01 lr: 1.91e-05:  69% 134/194 [01:41<00:45,  1.32it/s]
Training loss: 6.94e-01 lr: 1.88e-05:  70% 135/194 [01:42<00:44,  1.32it/s]
Training loss: 6.63e-01 lr: 1.85e-05:  70% 136/194 [01:43<00:43,  1.33it/s]
Training loss: 6.58e-01 lr: 1.81e-05:  71% 137/194 [01:44<00:42,  1.33it/s]
Training loss: 6.59e-01 lr: 1.78e-05:  71% 138/194 [01:44<00:42,  1.33it/s]
Training loss: 6.26e-01 lr: 1.75e-05:  72% 139/194 [01:45<00:41,  1.33it/s]
Training loss: 6.16e-01 lr: 1.72e-05:  72% 140/194 [01:46<00:40,  1.33it/s]
Training loss: 6.07e-01 lr: 1.68e-05:  73% 141/194 [01:47<00:39,  1.33it/s]
Training loss: 6.26e-01 lr: 1.65e-05:  73% 142/194 [01:47<00:39,  1.33it/s]
Training loss: 6.35e-01 lr: 1.62e-05:  74% 143/194 [01:48<00:38,  1.32it/s]
Training loss: 6.38e-01 lr: 1.59e-05:  74% 144/194 [01:49<00:37,  1.32it/s]
Training loss: 6.61e-01 lr: 1.55e-05:  75% 145/194 [01:50<00:37,  1.32it/s]
Training loss: 6.71e-01 lr: 1.52e-05:  75% 146/194 [01:50<00:36,  1.32it/s]
Training loss: 6.56e-01 lr: 1.49e-05:  76% 147/194 [01:51<00:35,  1.32it/s]
Training loss: 6.53e-01 lr: 1.46e-05:  76% 148/194 [01:52<00:34,  1.32it/s]
Training loss: 6.36e-01 lr: 1.42e-05:  77% 149/194 [01:53<00:34,  1.32it/s]
Training loss: 6.52e-01 lr: 1.39e-05:  77% 150/194 [01:53<00:33,  1.32it/s]
